Date,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,daily_return,daily_sentiment,prev_return,volume_scaled
2017-12-20,237.7249755859375,238.88229711444836,237.42229191184154,238.82888394657542,76751500,-0.0005238101378464144,0.0006500000000000006,-0.0038406023183058524,-0.28416536849011953
2017-12-21,238.21458435058594,238.9357163902031,237.96531386633447,238.35702850850754,67032300,0.002059559637945796,0.033965,-0.0005238101378464144,-0.45873715612715954
2017-12-22,238.15235900878906,238.26809662007167,237.6092887947215,238.23247877772624,78720900,-0.0002612155001613381,-0.013113043478260868,0.002059559637945796,-0.24879191403168807
2017-12-26,237.86737060546875,238.0899344817665,237.6003048212882,237.74272179388987,45244400,-0.0011966642048244491,0.25,-0.0002612155001613381,-0.8500813667470731
2017-12-27,237.98321533203125,238.34822351373595,237.70723817462476,238.03662851291932,57751000,0.00048701394507211226,0.03169047619047619,-0.0011966642048244491,-0.6254435859357508
2017-12-28,238.4727783203125,238.51730740419808,238.09888615897432,238.49060082124535,45116100,0.0020571324225460152,0.040824999999999986,0.00048701394507211226,-0.8523858321715765
2018-01-02,239.2739715576172,239.30958938635928,238.05432581552014,238.44604042635405,86655700,0.007157205594688687,0.04819629629629629,0.0020571324225460152,-0.10627069618017919
2018-01-03,240.7874298095703,240.9387852135431,239.44313517870106,239.44313517870106,90070400,0.006325210561352934,0.07730000000000001,0.007157205594688687,-0.04493742973394898
2018-01-04,241.80238342285156,242.29204045163974,240.8498302915004,241.4374024249744,80636400,0.0042151436812292165,0.0420111111111111,0.006325210561352934,-0.21438658651309087
2018-01-05,243.41371154785156,243.5383332111421,242.10503465684633,242.60357564690105,83524000,0.006663822341991477,-0.01602499999999999,0.0042151436812292165,-0.16252084715381057
2018-01-08,243.85879516601562,244.01903463338954,243.02195283402983,243.31572519088206,57319200,0.001828506764609994,0.012496153846153844,0.006663822341991477,-0.6331993783776877
2018-01-09,244.41075134277344,245.04282513741748,244.00121425356372,244.28610253255093,57254000,0.002263425341628711,-0.12344799999999999,0.001828506764609994,-0.6343704707056504
2018-01-10,244.03684997558594,244.30394294488778,242.96855960370945,243.6451353553648,69574300,-0.0015298073637649567,-0.025934782608695642,0.002263425341628711,-0.41307892456763246
2018-01-11,245.81736755371094,245.81736755371094,244.4285710158833,244.5977217503509,62361500,0.007296101299058444,-0.034964,-0.0015298073637649567,-0.542631911425444
